,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,mangla,2,PK,1587235775,50,31.89,72.38,74.84,6.62
88,mtwara,75,TZ,1587235775,94,-10.27,40.18,77.0,9.17
89,lorengau,64,PG,1587235534,72,-2.02,147.27,82.51,1.45
90,puri,75,IN,1587235775,94,19.8,85.85,75.2,20.36
91,praia,40,CV,1587235775,54,14.92,-23.51,78.8,20.8
92,nioro,61,GM,1587235313,19,13.35,-15.75,94.1,14.52
93,kahului,20,US,1587235388,60,20.89,-156.47,75.2,3.36
94,stornoway,0,GB,1587235328,66,58.21,-6.39,52.0,6.93
95,alta floresta,95,NO,1587235582,80,69.97,23.27,39.2,3.36
96,pisco,3,PE,1587235542,64,-13.7,-76.22,75.99,10.29
97,sumbe,74,AO,1587235300,85,-11.21,13.84,79.63,2.1
98,karema,100,TZ,1587235776,62,-6.82,30.44,75.0,4.52
99,new norfolk,75,LR,1587235205,83,6.65,-10.59,82.4,6.93
100,cabo san lucas,40,BR,1587235776,74,-8.28,-35.03,84.2,6.93
101,castro,36,BR,1587235300,38,-24.79,-50.01,71.24,4.59
102,saldanha,21,ZA,1587235524,30,-33.01,17.94,71.6,6.93
103,san patricio,79,ML,1587235501,11,13.3,-4.9,105.33,4.74
104,taoudenni,53,ML,1587235718,27,22.68,-3.98,92.43,29.01
105,qaanaaq,26,GL,1587235436,82,77.48,-69.36,19.42,11.03
106,mar del plata,40,ES,1587235521,87,43.4,-4.01,60.01,4.7
107,dikson,100,RU,1587235379,91,73.51,80.55,35.91,18.05
108,itaituba,40,BR,1587235777,62,-4.28,-55.98,89.6,2.24
109,avarua,13,CK,1587235492,78,-21.21,-159.78,78.8,3.36
110,hambantota,88,LK,1587235545,77,6.12,81.12,83.25,6.55
111,tessalit,79,ML,1587235556,7,20.2,1.01,98.2,7.38
112,rafaela,0,AR,1587235546,28,-31.25,-61.49,84.0,5.01
113,torbay,75,CA,1587235219,55,47.67,-52.73,39.99,11.41
114,vangaindrano,6,MG,1587235541,86,-23.35,47.6,71.22,2.24
115,nueva italia,75,EC,1587235778,70,-1.72,-79.83,86.0,4.7
116,valparaiso,28,CL,1587235518,53,-33.04,-71.63,71.6,5.82
117,bengkulu,100,ID,1587235506,83,-3.8,102.27,77.99,3.4
118,nouadhibou,0,MR,1587235509,68,20.93,-17.03,71.6,18.34
119,ponta delgada,75,PT,1587235341,88,38.73,-28.27,64.4,9.17
120,bambous virieux,40,MU,1587235504,74,-20.26,57.41,79.0,16.11
121,athabasca,70,CA,1587235621,63,54.72,-113.29,36.52,8.55
122,senneterre,75,CA,1587235503,33,48.38,-77.23,42.8,18.34
123,longyearbyen,40,SJ,1587235312,95,78.22,15.64,32.0,6.93
124,santa isabel,95,PH,1587235306,79,17.49,120.43,77.77,1.5
125,fredericton,1,CA,1587235513,28,45.95,-66.67,48.99,10.29
126,necochea,0,AR,1587235250,41,-38.55,-58.74,81.0,21.0
127,aklavik,75,CA,1587235546,79,68.22,-135.01,23.0,11.41
128,nipawin,90,CA,1587235779,58,53.37,-104.0,30.2,17.22
129,vaini,20,TO,1587235494,83,-21.2,-175.2,77.0,8.05
130,tuatapere,94,NZ,1587235278,93,-46.13,167.68,42.01,5.01
131,zhoucheng,100,CN,1587235314,91,35.91,116.31,52.7,0.49
132,sola,73,VU,1587235780,76,-13.88,167.55,82.44,10.36
133,gizo,68,SB,1587235780,74,-8.1,156.84,81.28,3.11
134,sampit,75,ID,1587235780,97,-2.53,112.95,75.27,2.86
135,shimoda,8,JP,1587235780,81,34.67,138.95,53.01,3.0
136,liverpool,99,GB,1587235709,76,53.41,-2.98,50.0,3.36
137,tasiilaq,90,GL,1587235295,91,65.61,-37.64,32.0,17.22
138,soyo,96,AO,1587235780,81,-6.13,12.37,79.2,6.13
139,marzuq,11,YE,1587235781,46,14.4,46.47,76.19,8.66
140,hofn,99,IS,1587235539,86,64.25,-15.21,44.31,13.35
141,burnie,31,AU,1587235781,91,-41.07,145.92,55.99,3.0
142,rudnichnyy,100,RU,1587235781,92,59.62,52.47,34.57,7.54
143,sydney,20,AU,1587235668,82,-33.87,151.21,59.0,6.93
144,mount gambier,100,GB,1587235509,75,53.66,-1.85,50.0,1.99
145,asyut,0,EG,1587235782,43,27.18,31.18,73.4,17.22
146,khatanga,0,RU,1587235497,93,71.97,102.5,10.49,4.81
147,fertod,99,HU,1587235782,48,47.62,16.89,66.2,4.7
148,charleston,40,US,1587235569,54,32.78,-79.93,82.0,14.99
149,olafsvik,100,IS,1587235544,90,64.89,-23.71,34.79,5.95
150,teknaf,34,BD,1587235783,84,20.86,92.31,77.05,1.97
151,barcelos,20,PT,1587235219,82,41.54,-8.62,62.01,9.17
152,georgetown,40,MY,1587235269,88,5.41,100.34,82.4,4.7
153,kritsa,40,GR,1587235783,72,35.17,25.65,64.4,3.44
154,nanortalik,27,GL,1587235513,88,60.14,-45.24,30.18,3.69
155,bataipora,2,BR,1587235784,40,-22.3,-53.27,80.91,4.72
156,hithadhoo,99,MV,1587235501,74,-0.6,73.08,84.16,12.82
157,pontal do parana,40,BR,1587235745,43,-21.02,-48.04,87.8,2.24
158,morondava,0,MG,1587235784,77,-20.28,44.28,79.32,10.45
159,san matias,79,ML,1587235784,11,13.3,-4.9,105.33,4.74
160,surgut,100,RU,1587235784,61,61.25,73.42,50.0,6.71
161,cherskiy,39,RU,1587235503,87,68.75,161.3,-4.95,6.04
162,verrettes,40,HT,1587235785,36,19.05,-72.47,95.0,9.17
163,nola,40,IT,1587235690,72,40.92,14.53,64.4,4.7
164,bathsheba,20,BB,1587235504,58,13.22,-59.52,86.0,19.46
165,bose,49,IT,1587235351,44,45.46,8.01,66.0,0.36
166,arefu,75,RO,1587235785,66,45.33,24.6,54.0,3.91
167,faya,20,SA,1587235785,82,18.39,42.45,64.4,4.7
168,iqaluit,20,CA,1587235501,65,63.75,-68.51,6.8,3.36
169,kushmurun,99,KZ,1587235785,62,52.45,64.63,53.44,7.72
170,chuy,32,UY,1587235217,70,-33.7,-53.46,70.14,6.78
171,coahuayana,20,MX,1587235786,40,18.73,-103.68,86.0,5.91
172,itoman,75,JP,1587235358,88,26.12,127.67,71.6,5.82
173,alexandria,0,EG,1587235768,77,31.22,29.96,64.4,11.41
174,afareaitu,98,PF,1587235786,70,-17.55,-149.78,84.2,5.82
175,esperance,75,AU,1587235505,100,-33.87,121.9,59.0,16.11
176,orsk,75,RU,1587235787,100,51.2,58.57,41.0,2.24
177,rome,1,US,1587235567,42,34.26,-85.16,64.99,10.29
178,san quintin,79,ML,1587235787,11,13.3,-4.9,105.33,4.74
179,angoche,0,MZ,1587235787,82,-16.23,39.91,78.8,8.16
180,bolhrad,49,UA,1587235787,47,45.68,28.61,52.0,5.82
181,saskylakh,0,RU,1587235394,81,71.92,114.08,8.49,5.06
182,dunedin,95,NZ,1587235303,72,-45.87,170.5,48.0,6.11
183,siuna,41,NI,1587235788,43,13.73,-84.78,89.71,5.17
184,airai,63,TL,1587235523,56,-8.93,125.41,60.13,2.48
185,fairbanks,90,US,1587235203,100,64.84,-147.72,39.99,2.98
186,gorontalo,65,ID,1587235788,88,0.54,123.06,76.28,2.8
187,thompson,75,CA,1587235435,56,55.74,-97.86,12.2,13.87
188,mbabane,46,SZ,1587235789,70,-26.32,31.13,57.9,1.97
189,manresa,100,ES,1587235731,83,41.73,1.83,60.01,8.01
190,port moresby,99,CD,1587235789,58,-7.03,29.76,74.89,3.44
191,narsaq,40,GL,1587235395,43,60.92,-46.05,33.8,5.82
192,soderhamn,83,SE,1587235789,55,61.3,17.06,45.0,1.01
193,sistranda,75,NO,1587235789,93,63.73,8.83,42.8,8.05
194,kaa-khem,0,RU,1587235789,54,51.68,94.73,36.97,2.42
195,adrar,96,MR,1587235108,25,20.5,-10.07,82.8,8.77
196,vardo,75,NO,1587235272,86,70.37,31.11,33.8,11.41
197,constitucion,93,CL,1587235790,74,-35.33,-72.42,68.79,9.37
198,bubaque,100,GW,1587235790,75,11.28,-15.83,77.23,21.7
199,sungaipenuh,100,ID,1587235790,73,-2.08,101.38,66.38,1.63
200,ossora,0,RU,1587235790,88,59.24,163.07,13.28,7.58
201,belica,32,BG,1587235790,43,41.96,23.57,48.99,3.02
202,tukrah,0,LY,1587235791,71,32.53,20.58,59.77,10.92
203,luderitz,11,NA,1587235497,87,-26.65,15.16,60.8,6.93
204,mackay,0,AU,1587235327,88,-21.15,149.2,73.0,4.7
205,hirara,98,JP,1587235791,88,24.8,125.28,73.96,17.45
206,bajo baudo,99,ID,1587235791,73,-3.38,120.31,79.66,4.32
207,culebra,1,PR,1587235740,66,18.3,-65.3,86.0,11.41
208,halifax,95,CA,1587235468,59,44.65,-63.57,43.0,3.0
209,nikolskoye,75,RU,1587235492,94,59.7,30.79,37.4,13.42
210,grand gaube,40,US,1587235444,23,38.88,-109.5,60.8,8.05
211,rawson,100,AR,1587235730,63,-43.3,-65.1,67.28,14.81
212,kodiak,40,US,1587235408,81,57.79,-152.41,44.6,4.7
213,salinopolis,67,BR,1587235792,72,-0.61,-47.36,82.99,3.94
214,chibuto,12,MZ,1587235792,80,-24.69,33.53,70.83,6.26
215,coquimbo,90,CL,1587235410,82,-29.95,-71.34,60.8,9.17
216,bhag,99,PK,1587235792,17,29.04,67.82,87.82,9.08
217,dongsheng,94,CN,1587235793,52,39.82,109.98,40.21,10.54
218,pavlodar,33,KZ,1587235793,52,52.3,76.95,46.4,11.18
219,guerrero negro,7,MX,1587235562,18,17.67,-100.0,95.5,1.48
220,praia da vitoria,40,CV,1587235766,54,14.92,-23.51,78.8,20.8
221,chumikan,96,RU,1587235338,88,54.72,135.31,21.67,7.49
222,gallup,1,US,1587235793,17,35.53,-108.74,57.2,20.8
223,ambilobe,99,MG,1587235507,77,-13.2,49.05,75.83,6.6
224,barrow,1,US,1587235202,91,71.29,-156.79,-7.6,9.17
225,kawalu,100,ID,1587235793,77,-7.38,108.21,73.9,2.28
226,lompoc,90,US,1587235237,67,34.64,-120.46,60.01,8.05
227,san martin,79,ML,1587235784,11,13.3,-4.9,105.33,4.74
228,fortuna,90,US,1587235317,87,40.6,-124.16,57.0,3.36
229,magdagachi,100,RU,1587235794,92,53.45,125.8,24.39,14.94
230,artesia,75,US,1587235794,55,33.87,-118.08,66.0,5.82
231,makakilo city,40,US,1587235794,77,21.35,-158.09,77.0,7.16
232,lac du bonnet,50,AL,1587235794,82,41.64,19.71,57.2,2.24
233,richards bay,90,US,1587235795,50,46.84,-95.91,55.4,16.11
234,ilulissat,75,GL,1587235202,79,69.22,-51.1,24.8,3.36
235,uvat,98,RU,1587235795,74,59.14,68.9,44.65,9.69
236,winchester,66,GB,1587235795,81,51.07,-1.32,53.01,6.93
237,noumea,52,NC,1587235326,88,-22.28,166.46,68.0,4.7
238,lesnoy,70,RU,1587235795,69,57.62,63.08,39.63,8.75
239,voh,99,NC,1587235796,84,-20.97,164.7,73.49,5.39
240,kulhudhuffushi,21,MV,1587235796,74,6.62,73.07,85.96,10.16
241,jiangyou,39,CN,1587235796,68,31.77,104.72,58.78,1.25
242,hue,40,VN,1587235796,94,16.47,107.6,77.0,2.24
243,biswan,84,IN,1587235796,23,27.5,81.0,83.7,4.92
244,arraial do cabo,40,BR,1587235501,44,-22.84,-46.65,78.8,10.29
245,baherden,40,TM,1587235796,36,38.44,57.43,70.68,7.49
246,pilar,75,BR,1587235141,83,-9.6,-35.96,82.4,10.29
247,padang,100,ID,1587235797,77,-0.95,100.35,78.89,0.98
248,vao,26,NC,1587235743,69,-22.67,167.48,75.09,11.03
249,troitsko-pechorsk,99,RU,1587235797,93,62.71,56.2,33.12,2.98
250,mariental,26,NA,1587235797,17,-24.63,17.97,82.96,9.13
251,marawi,7,PH,1587235741,71,8.0,124.29,67.08,2.75
252,ribeira grande,40,ES,1587235518,93,42.75,-8.44,63.0,6.93
253,half moon bay,75,LR,1587235797,83,6.38,-10.7,82.4,10.51
254,cockburn town,50,AU,1587235525,62,-32.08,141.0,51.8,4.05
255,sitka,40,US,1587235404,93,57.05,-135.33,41.0,4.7
256,jacksonville beach,90,US,1587235529,78,30.33,-81.66,78.8,9.17
257,candido de abreu,99,CO,1587235798,87,1.25,-75.6,69.4,2.68
258,kamina,93,CD,1587235798,66,-8.74,24.99,67.64,2.66
259,tambopata,19,PE,1587235798,42,-12.73,-69.18,86.0,9.17
260,erzin,76,TR,1587235798,49,36.96,36.2,69.8,12.75
261,trelew,100,AR,1587235616,59,-43.25,-65.31,69.53,14.94
262,karratha,80,AU,1587235515,64,-20.74,116.85,82.6,10.76
263,gaoual,73,GN,1587235799,15,11.75,-13.2,101.37,6.13
264,tabas,100,IR,1587235799,35,33.6,56.92,71.6,2.24
265,raton,1,US,1587235799,22,36.9,-104.44,66.2,17.22
266,kaitangata,100,NZ,1587235268,88,-46.28,169.85,48.0,7.87
267,englehart,40,CA,1587235800,33,47.82,-79.87,46.4,27.51
268,privolzhsk,68,RU,1587235800,82,57.38,41.29,34.34,5.59
269,aswan,69,EG,1587235800,23,24.09,32.91,73.24,3.38
270,banjar,20,ID,1587235800,100,-8.19,114.97,80.6,1.12
271,torres,31,BR,1587235743,65,-29.34,-49.73,71.49,7.05
272,hami,95,CN,1587235800,20,42.8,93.45,65.14,17.05
273,arroyo,99,ES,1587235800,82,41.61,-4.8,59.0,3.36
274,kalmunai,30,LK,1587235801,79,7.42,81.82,82.35,5.41
275,bedesa,100,ET,1587235801,51,8.9,40.78,67.71,3.76
276,kadoma,100,JP,1587235801,55,34.73,135.58,55.99,1.99
277,houma,90,US,1587235801,88,29.6,-90.72,75.2,8.05
278,anori,96,BR,1587235801,76,-3.77,-61.64,85.28,0.92
279,williston,20,US,1587235599,34,48.15,-103.62,51.8,19.46
280,vasto,62,IT,1587235802,72,42.12,14.71,60.8,4.7
281,xai-xai,0,MZ,1587235296,77,-25.05,33.64,73.6,9.51
282,qaqortoq,40,GL,1587235802,43,60.72,-46.03,33.8,5.82
283,macenta,96,GN,1587235802,72,8.54,-9.47,78.17,2.98
284,bowen,39,AU,1587235802,94,-20.02,148.23,73.0,3.36
285,uige,100,AO,1587235802,75,-7.61,15.06,66.7,2.35
286,concarneau,7,FR,1587235802,87,47.88,-3.92,61.0,3.36
287,birao,60,CF,1587235543,10,10.28,22.79,86.81,3.31
288,kavieng,99,PG,1587235263,76,-2.57,150.8,82.17,0.6
289,lincoln,1,US,1587235803,36,40.8,-96.67,64.4,25.28
290,bonoua,20,CI,1587235803,83,5.27,-3.6,84.2,11.41
291,klaksvik,0,FO,1587235553,75,62.23,-6.59,44.6,11.41
292,dingle,0,PH,1587235546,79,11.0,122.67,80.22,8.52
293,kloulklubed,75,PW,1587235581,88,7.04,134.26,80.6,9.17
294,doha,31,QA,1587235054,69,25.29,51.53,78.01,8.05
295,galatas,0,GR,1587235804,63,37.5,23.45,64.0,1.01
296,zhigansk,30,RU,1587235804,93,66.77,123.37,2.62,12.91
297,kilindoni,100,TZ,1587235804,76,-7.91,39.67,83.19,19.77
298,lagoa,93,PT,1587235292,85,39.05,-27.98,63.09,25.57
299,harper,92,LR,1587235804,82,4.38,-7.72,82.0,9.82
300,mount hagen,100,GB,1587235509,75,53.66,-1.85,50.0,1.99
301,toowoomba,40,AU,1587235805,93,-27.55,151.97,59.0,3.36
302,pandan,47,PH,1587235805,77,14.05,124.17,81.61,11.72
303,denpasar,20,ID,1587235805,100,-8.65,115.22,78.8,4.7
304,baruun-urt,100,MN,1587235517,42,46.68,113.28,44.1,6.8
305,severnyy,35,RU,1587235805,41,50.68,36.55,41.0,8.95
306,pitimbu,40,BR,1587235805,70,-7.47,-34.81,86.0,10.29
307,clyde river,4,US,1587235534,43,41.3,-82.98,51.01,8.01
308,olavarria,0,AR,1587235806,42,-36.89,-60.32,75.99,5.01
309,ponta do sol,75,PT,1587235341,88,38.73,-28.27,64.4,9.17
310,mattru,94,SL,1587235743,68,7.62,-11.83,84.51,7.54
311,altay,75,CN,1587235319,31,47.87,88.12,48.43,4.23
312,victoria,96,HK,1587235513,88,22.29,114.16,75.0,5.01
313,kapenguria,100,KE,1587235806,60,1.25,35.09,58.5,3.67
314,cervo,78,ES,1587235737,1,43.67,-7.41,57.99,2.73
315,yagodnoye,100,RU,1587235806,81,62.55,149.67,-9.33,4.5
316,gorkovskiy,100,RU,1587235807,72,45.65,41.2,51.21,6.31
317,honiara,20,SB,1587235807,100,-9.43,159.95,73.4,3.36
318,tezu,100,IN,1587235807,71,27.92,96.17,71.4,2.06
319,nuristan,51,AF,1587235807,28,35.3,70.83,22.69,3.96
320,sicuani,71,PE,1587235807,16,-14.27,-71.23,57.33,4.09
321,yuza,100,JP,1587235807,77,39.0,139.92,47.5,13.0
322,litovko,47,RU,1587235807,72,49.24,135.17,38.93,6.38
323,laizhou,100,CN,1587235807,65,37.18,119.93,53.13,7.14
324,suez,13,EG,1587235528,52,29.97,32.53,70.38,15.79
325,kitimat,5,CA,1587235511,54,54.05,-128.65,57.99,9.17
326,norwalk,90,US,1587235808,67,33.9,-118.08,66.0,4.7
327,ust-nera,99,RU,1587235808,76,64.57,143.2,-9.63,6.17
328,ostrovnoy,100,RU,1587235720,95,68.05,39.51,32.45,12.5
329,namibe,69,AO,1587235553,70,-15.2,12.15,74.34,5.64
330,port hardy,99,CD,1587235808,58,-7.03,29.76,74.89,3.44
331,tautira,82,PF,1587235808,70,-17.73,-149.15,84.2,5.82
332,foumban,77,CM,1587235808,62,5.73,10.9,71.24,2.82
333,ranot,95,TH,1587235809,79,7.78,100.32,82.18,6.33
334,bontang,93,ID,1587235809,83,0.13,117.5,79.03,7.56
335,weyburn,85,CA,1587235809,50,49.67,-103.85,42.01,25.01
336,vila,40,PT,1587235809,82,42.03,-8.16,57.2,4.7
337,saint-francois,98,FR,1587235809,55,46.42,3.91,66.2,2.08
338,verkhnyaya inta,98,RU,1587235809,96,60.98,40.21,29.79,3.33
339,troitskiy,95,RU,1587235809,61,57.06,63.75,43.56,8.3
340,hegang,0,CN,1587235809,47,47.4,130.37,47.71,4.5
341,kanniyakumari,9,IN,1587235810,71,8.08,77.57,85.21,4.85
342,mogadishu,88,SO,1587235810,75,2.04,45.34,84.54,13.35
343,baykit,46,RU,1587235553,92,61.67,96.37,20.35,2.13
344,mandalgovi,84,MN,1587235810,45,45.76,106.27,34.7,27.51
345,bosaso,87,SO,1587235810,71,11.28,49.18,84.49,8.08
346,svobodnyy,100,RU,1587235810,59,51.4,128.13,38.3,13.58
347,nambucca heads,75,AU,1587235810,93,-30.63,152.98,60.8,3.02
348,avera,1,US,1587235811,36,33.19,-82.53,77.0,12.75
349,pimenta bueno,91,BR,1587235811,56,-20.48,-45.8,76.64,4.23
350,galdar,15,ES,1587235660,64,28.15,-15.65,65.8,16.22
351,hamilton,75,US,1587235505,46,39.18,-84.53,54.0,8.05
352,portland,90,US,1587235701,76,45.52,-122.68,52.0,8.05
353,aron,92,IN,1587235811,24,24.38,77.42,84.78,8.08
354,addis zemen,99,US,1587235811,87,30.35,-91.27,73.99,1.01
355,zhigalovo,76,RU,1587235812,85,54.81,105.16,23.5,7.81
356,isilkul,100,RU,1587235812,52,54.91,71.27,54.91,4.16
357,mahebourg,40,MU,1587235499,74,-20.41,57.7,79.0,16.11
358,jumla,39,NP,1587235812,30,29.27,82.18,45.84,2.48
359,garoua,74,CM,1587235812,22,9.3,13.4,100.4,6.93
360,margate,20,GB,1587235548,89,51.38,1.39,50.0,15.61
361,camacha,40,PT,1587235741,68,33.08,-16.33,66.2,14.99
362,chapais,1,CA,1587235692,32,49.78,-74.85,39.2,25.28
363,muros,64,ES,1587235813,77,42.78,-9.06,63.0,1.99
364,las navas,19,PL,1587235813,8,49.74,19.43,52.0,4.36
365,yorkton,75,CA,1587235813,59,51.22,-102.47,35.6,21.92
366,galveston,90,US,1587235526,83,29.37,-94.97,72.0,11.41
367,samarai,47,PG,1587235038,81,-10.62,150.67,79.48,1.14
368,kismayo,100,SO,1587235587,77,-0.36,42.55,84.13,10.83
369,san isidro,79,ML,1587235814,11,13.3,-4.9,105.33,4.74
370,villarrubia de los ojos,80,ES,1587235814,60,37.85,-4.9,69.8,5.82
371,kavaratti,1,IN,1587235734,70,10.57,72.64,84.74,6.35
372,vila velha,40,PT,1587235557,82,42.03,-8.16,57.2,4.7
373,oistins,20,BB,1587235704,58,13.07,-59.53,86.0,19.46
374,namatanai,100,PG,1587235755,77,-3.67,152.43,81.41,3.33
375,moron,0,AR,1587235814,50,-34.65,-58.62,78.01,9.04
376,hailar,100,CN,1587235767,52,49.2,119.7,47.12,11.23
377,kerrville,90,US,1587235733,82,30.05,-99.14,60.8,3.36
378,rundu,95,NA,1587235336,51,-17.93,19.77,80.6,3.36
379,moose factory,1,US,1587235555,44,43.66,-110.72,44.6,3.98
380,saint-pierre,20,RE,1587235347,78,-21.34,55.48,77.0,10.29
381,luwuk,68,ID,1587235815,75,-0.95,122.79,80.8,2.33
382,santa rosa,95,PH,1587235306,79,17.49,120.43,77.77,1.5
383,sabang,20,ID,1587235815,74,5.89,95.32,83.1,5.28
384,babu,91,CN,1587235816,86,24.42,111.52,70.09,2.26
