,City,Country,Lat,Lng,Hotel Name
158,morondava,MG,-20.28,44.28,
159,san matias,ML,13.3,-4.9,
160,surgut,RU,61.25,73.42,
161,cherskiy,RU,68.75,161.3,
162,verrettes,HT,19.05,-72.47,
163,nola,IT,40.92,14.53,
164,bathsheba,BB,13.22,-59.52,
165,bose,IT,45.46,8.01,
166,arefu,RO,45.33,24.6,
167,faya,SA,18.39,42.45,
168,iqaluit,CA,63.75,-68.51,
169,kushmurun,KZ,52.45,64.63,
170,chuy,UY,-33.7,-53.46,
171,coahuayana,MX,18.73,-103.68,
172,itoman,JP,26.12,127.67,
173,alexandria,EG,31.22,29.96,
174,afareaitu,PF,-17.55,-149.78,
175,esperance,AU,-33.87,121.9,
176,orsk,RU,51.2,58.57,
177,rome,US,34.26,-85.16,
178,san quintin,ML,13.3,-4.9,
179,angoche,MZ,-16.23,39.91,
180,bolhrad,UA,45.68,28.61,
181,saskylakh,RU,71.92,114.08,
182,dunedin,NZ,-45.87,170.5,
183,siuna,NI,13.73,-84.78,
184,airai,TL,-8.93,125.41,
185,fairbanks,US,64.84,-147.72,
186,gorontalo,ID,0.54,123.06,
187,thompson,CA,55.74,-97.86,
188,mbabane,SZ,-26.32,31.13,
189,manresa,ES,41.73,1.83,
190,port moresby,CD,-7.03,29.76,
191,narsaq,GL,60.92,-46.05,
192,soderhamn,SE,61.3,17.06,
193,sistranda,NO,63.73,8.83,
194,kaa-khem,RU,51.68,94.73,
195,adrar,MR,20.5,-10.07,
196,vardo,NO,70.37,31.11,
197,constitucion,CL,-35.33,-72.42,
198,bubaque,GW,11.28,-15.83,
199,sungaipenuh,ID,-2.08,101.38,
200,ossora,RU,59.24,163.07,
201,belica,BG,41.96,23.57,
202,tukrah,LY,32.53,20.58,
203,luderitz,,-26.65,15.16,
204,mackay,AU,-21.15,149.2,
205,hirara,JP,24.8,125.28,
206,bajo baudo,ID,-3.38,120.31,
207,culebra,PR,18.3,-65.3,
208,halifax,CA,44.65,-63.57,
